>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-3.38058e-04 	 0 	 -0E+00 	 -7.5124E+01 	 0E+00
1.00000e+00	9.99957e-02 	 0 	 0E+00 	 2.222127E+04 	 0E+00
2.00000e+00	9.99957e-02 	 0 	 0E+00 	 2.222127E+04 	 0E+00
3.00000e+00	9.99955e-02 	 0 	 0E+00 	 2.222122E+04 	 0E+00
4.00000e+00	9.99954e-02 	 0 	 0E+00 	 2.22212E+04 	 0E+00
5.00000e+00	9.99955e-02 	 0 	 0E+00 	 2.222122E+04 	 0E+00
6.00000e+00	9.99957e-02 	 0 	 0E+00 	 2.222127E+04 	 0E+00
7.00000e+00	9.99955e-02 	 0 	 0E+00 	 2.222122E+04 	 0E+00
8.00000e+00	9.99955e-02 	 0 	 0E+00 	 2.222122E+04 	 0E+00
9.00000e+00	9.99956e-02 	 0 	 0E+00 	 2.222124E+04 	 0E+00
1.00000e+01	9.99957e-02 	 0 	 0E+00 	 2.222127E+04 	 0E+00
1.10000e+01	9.99958e-02 	 0 	 0E+00 	 2.222129E+04 	 0E+00
1.20000e+01	9.99958e-02 	 0 	 0E+00 	 2.222129E+04 	 0E+00
1.30000e+01	9.99958e-02 	 0 	 0E+00 	 2.222129E+04 	 0E+00
1.40000e+01	9.99958e-02 	 0 	 0E+00 	 2.222129E+04 	 0E+00
1.50000e+01	9.99958e-02 	 0 	 0E+00 	 2.222129E+04 	 0E+00
1.60000e+01	9.99957e-02 	 0 	 0E+00 	 2.222127E+04 	 0E+00
1.70000e+01	9.99957e-02 	 0 	 0E+00 	 2.222127E+04 	 0E+00
1.80000e+01	9.99959e-02 	 0 	 0E+00 	 2.222131E+04 	 0E+00
1.90000e+01	9.99960e-02 	 0 	 0E+00 	 2.222133E+04 	 0E+00
2.00000e+01	9.99960e-02 	 0 	 0E+00 	 2.222133E+04 	 0E+00
2.10000e+01	9.99963e-02 	 0 	 0E+00 	 2.22214E+04 	 0E+00
2.20000e+01	9.99963e-02 	 0 	 0E+00 	 2.22214E+04 	 0E+00
2.30000e+01	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
2.40000e+01	9.99965e-02 	 0 	 0E+00 	 2.222144E+04 	 0E+00
2.50000e+01	9.99969e-02 	 0 	 0E+00 	 2.222153E+04 	 0E+00
2.60000e+01	9.99967e-02 	 0 	 0E+00 	 2.222149E+04 	 0E+00
2.70000e+01	9.99965e-02 	 0 	 0E+00 	 2.222144E+04 	 0E+00
2.80000e+01	9.99969e-02 	 0 	 0E+00 	 2.222153E+04 	 0E+00
2.90000e+01	9.99963e-02 	 0 	 0E+00 	 2.22214E+04 	 0E+00
3.00000e+01	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
3.10000e+01	9.99962e-02 	 0 	 0E+00 	 2.222138E+04 	 0E+00
3.20000e+01	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
3.30000e+01	9.99960e-02 	 0 	 0E+00 	 2.222133E+04 	 0E+00
3.40000e+01	9.99977e-02 	 0 	 0E+00 	 2.222171E+04 	 0E+00
3.50000e+01	9.99962e-02 	 0 	 0E+00 	 2.222138E+04 	 0E+00
3.60000e+01	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
3.70000e+01	9.99960e-02 	 0 	 0E+00 	 2.222133E+04 	 0E+00
3.80000e+01	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
3.90000e+01	9.99961e-02 	 0 	 0E+00 	 2.222136E+04 	 0E+00
4.00000e+01	9.99970e-02 	 0 	 0E+00 	 2.222156E+04 	 0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_043.txt
